Batch ID,Number of Ballots
Precinct 1-10,217
Precinct 1-76,8
Precinct 2-17,131
Precinct 2-75,8
Precinct 2-78,1
Precinct 3-57,333
Precinct 3-73,11
Precinct 4-27,206
Precinct 4-30,1
Precinct 4-72,10
Precinct 4-74,1
Precinct 5-9,123
Precinct 5-71,13
Precinct 6-43,181
Precinct 6-47,2
Precinct 6-70,7
Precinct 7-32,166
Precinct 7-69,9
Precinct 8-6,176
Precinct 8-11,1
Precinct 8-68,13
Precinct 9-26,161
Precinct 9-28,6
Precinct 9-67,7
Precinct 10-14,86
Precinct 10-66,5
Precinct 11-38,232
Precinct 11-41,4
Precinct 11-90,17
Precinct 12-54,258
Precinct 12-89,4
Precinct 13-52,281
Precinct 13-88,14
Precinct 14-60,383
Precinct 14-87,12
Precinct 15-7,250
Precinct 15-86,9
Precinct 16-8,130
Precinct 16-85,4
Precinct 17-34,198
Precinct 17-36,3
Precinct 17-84,4
Precinct 18-53,97
Precinct 18-83,8
Precinct 19-49,281
Precinct 19-82,14
Precinct 21-56,329
Precinct 21-77,15
Precinct 21-80,2
Precinct 23-48,234
Precinct 23-100,16
Precinct 24-58,266
Precinct 24-99,17
Precinct 25-21,214
Precinct 25-25,4
Precinct 25-98,10
Precinct 25-101,1
Precinct 26-39,237
Precinct 26-42,3
Precinct 26-97,10
Precinct 27-55,211
Precinct 27-96,25
Precinct 29-63,375
Precinct 29-93,21
Precinct 30-61,382
Precinct 30-92,29
Precinct 31-59,515
Precinct 31-91,15
Precinct 32-51,290
Precinct 32-115,15
Precinct 33-19,328
Precinct 33-116,17
Precinct 34-29,138
Precinct 34-117,10
Precinct 35-15,212
Precinct 35-106,19
Precinct 35-110,1
Precinct 36-50,225
Precinct 36-107,17
Precinct 37-23,255
Precinct 37-108,9
Precinct 38-40,207
Precinct 38-44,2
Precinct 38-109,16
Precinct 39-16,142
Precinct 39-111,16
Precinct 40-24,114
Precinct 40-31,4
Precinct 40-112,15
Precinct 42-35,187
Precinct 42-113,6
Precinct 43-20,128
Precinct 43-22,1
Precinct 43-105,5
Precinct 44-13,201
Precinct 44-104,19
Precinct 20H-5,88
Precinct 20H-81,2
Precinct 20L-4,116
Precinct 20L-79,6
Precinct 22L-3,39
Precinct 22H-18,55
Precinct 22H-103,2
Precinct 22L-102,1
Precinct 28A-1,21
Precinct 28A-95,3
Precinct 28B-94,12
Precinct 28B-12,278
Precinct 41L-62,345
Precinct 41L-114,13
Precinct 41W-2,22
