Batch ID,Number of Ballots
"Ward 1, Precinct 1",910
"Ward 1, Precinct 2",833
"Ward 1, Precinct 3",736
"Ward 1, Precinct 4",800
"Ward 1, Precinct 5",793
"Ward 1, Precinct 6",635
"Ward 1, Precinct 7",879
"Ward 1, Precinct 8",813
"Ward 1, Precinct 9",695
"Ward 1, Precinct 10",367
"Ward 2, Precinct 11",791
"Ward 2, Precinct 12",949
"Ward 2, Precinct 13",728
"Ward 2, Precinct 14",780
"Ward 2, Precinct 15",686
"Ward 2, Precinct 16",965
"Ward 2, Precinct 17",694
"Ward 2, Precinct 18",385
"Ward 2, Precinct 19",805
"Ward 2, Precinct 20",808
"Ward 2, Precinct 21",825
"Ward 3, Precinct 22",397
"Ward 3, Precinct 23",833
"Ward 3, Precinct 24",659
"Ward 3, Precinct 25",684
"Ward 3, Precinct 26",770
"Ward 3, Precinct 27",637
"Ward 3, Precinct 28",686
"Ward 3, Precinct 29",825
"Ward 3, Precinct 30",907
"Ward 3, Precinct 31",758
"Ward 4, Precinct 32",677
"Ward 4, Precinct 33",627
"Ward 4, Precinct 34",476
"Ward 4, Precinct 35",718
"Ward 4, Precinct 36",618
"Ward 4, Precinct 37",724
"Ward 4, Precinct 38",739
"Ward 4, Precinct 39",759
"Ward 4, Precinct 40",552
"Ward 4, Precinct 41",925
"Ward 4, Precinct 42",707
"Ward 4, Precinct 43",662
"Ward 4, Precinct 44",639
