Batch ID,Scanner ID, Number of Ballots
Absentee Pct 6 - Batch 1,Central - District 1,50
Absentee Pct 6 - Batch 2,Central - District 1,50
Absentee Pct 6 - Batch 3,Central - District 1,50
Absentee Pct 6 - Batch 4,Central - District 1,50
Absentee Pct 6 - Batch 5,Central - District 1,50
Absentee Pct 6 - Batch 6,Central - District 1,50
Absentee Pct 6 - Batch 7,Central - District 1,50
Absentee Pct 6 - Batch 8,Central - District 1,50
Absentee Pct 6 - Batch 9,Central - District 1,50
Absentee Pct 6 - Batch 10,Central - District 1,50
Absentee Pct 6 - Batch 11,Central - District 1,50
Absentee Pct 6 - Batch 12,Central - District 1,47
Absentee Pct 6 - Batch 13,Central - District 1,41
Absentee Pct 6 - Batch 14,Central - District 1,2
Absentee Pct 6 - Batch 15,Central - District 1,2
Absentee Pct 8 - Batch 1,Central - District 1,50
Absentee Pct 8 - Batch 2,Central - District 1,50
Absentee Pct 8 - Batch 3,Central - District 1,50
Absentee Pct 8 - Batch 4,Central - District 1,50
Absentee Pct 8 - Batch 5,Central - District 1,52
Absentee Pct 8 - Batch 6,Central - District 1,28
Absentee Pct 8 - Batch 7,Central - District 1,2
Absentee Pct 14 - Batch 1,Central - District 1,50
Absentee Pct 14 - Batch 2,Central - District 1,50
Absentee Pct 14 - Batch 3,Central - District 1,50
Absentee Pct 14 - Batch 4,Central - District 1,50
Absentee Pct 14 - Batch 5,Central - District 1,50
Absentee Pct 14 - Batch 6,Central - District 1,50
Absentee Pct 14 - Batch 7,Central - District 1,50
Absentee Pct 14 - Batch 8,Central - District 1,50
Absentee Pct 14 - Batch 9,Central - District 1,50
Absentee Pct 14 - Batch 10,Central - District 1,50
Absentee Pct 14 - Batch 11,Central - District 1,60
Absentee Pct 14 - Batch 12,Central - District 1,54
Absentee Pct 14 - Batch 13,Central - District 1,7
Absentee Pct 14 - Batch 14,Central - District 1,1
Absentee Pct 17 - Batch 1,Central - District 1,50
Absentee Pct 17 - Batch 2,Central - District 1,50
Absentee Pct 17 - Batch 3,Central - District 1,50
Absentee Pct 17 - Batch 4,Central - District 1,50
Absentee Pct 17 - Batch 5,Central - District 1,50
