Batch ID,Number of Ballots
Election Day Precinct 1,855
Election Day Precinct 2,388
Election Day Precinct 3,702
Election Day Precinct 4,526
Election Day Precinct 5,902
Election Day Precinct 6,941
Election Day Precinct 7,520
Election Day Precinct 8,451
Election Day Precinct 9,1005
Election Day Precinct 10,708
Election Day Precinct 11,688
Election Day Precinct 12,940
Election Day Precinct 13,726
Election Day Precinct 14,901
Election Day Precinct 15,690
Election Day Precinct 16,1009
Election Day Precinct 17,1035
Election Day Precinct 18,571
Election Day Precinct 19,611
Election Day Precinct 20,503
Election Day Precinct 21,884
Election Day Precinct 22,552
Election Day Precinct 23,630
Election Day Precinct 24,652
Election Day Precinct 25,956
Election Day Precinct 26,1022
Election Day Precinct 27,764
Election Day Precinct 28,761
Election Day Precinct 29,495
Election Day Precinct 30,973
Election Day Precinct 31,658
Election Day Precinct 32,682
Absentee Pct 6 - Batch 1,50
Absentee Pct 6 - Batch 2,50
Absentee Pct 6 - Batch 3,50
Absentee Pct 6 - Batch 4,50
Absentee Pct 6 - Batch 5,50
Absentee Pct 6 - Batch 6,50
Absentee Pct 6 - Batch 7,50
Absentee Pct 6 - Batch 8,50
Absentee Pct 6 - Batch 9,50
Absentee Pct 6 - Batch 10,50
Absentee Pct 6 - Batch 11,50
Absentee Pct 6 - Batch 12,47
Absentee Pct 6 - Batch 13,41
Absentee Pct 6 - Batch 14,2
Absentee Pct 6 - Batch 15,2
Absentee Pct 8 - Batch 1,50
Absentee Pct 8 - Batch 2,50
Absentee Pct 8 - Batch 3,50
Absentee Pct 8 - Batch 4,50
Absentee Pct 8 - Batch 5,52
Absentee Pct 8 - Batch 6,28
Absentee Pct 8 - Batch 7,2
Absentee Pct 14 - Batch 1,50
Absentee Pct 14 - Batch 2,50
Absentee Pct 14 - Batch 3,50
Absentee Pct 14 - Batch 4,50
Absentee Pct 14 - Batch 5,50
Absentee Pct 14 - Batch 6,50
Absentee Pct 14 - Batch 7,50
Absentee Pct 14 - Batch 8,50
Absentee Pct 14 - Batch 9,50
Absentee Pct 14 - Batch 10,50
Absentee Pct 14 - Batch 11,60
Absentee Pct 14 - Batch 12,54
Absentee Pct 14 - Batch 13,7
Absentee Pct 14 - Batch 14,1
Absentee Pct 17 - Batch 1,50
Absentee Pct 17 - Batch 2,50
Absentee Pct 17 - Batch 3,50
Absentee Pct 17 - Batch 4,50
Absentee Pct 17 - Batch 5,50
Absentee Pct 17 - Batch 6,50
Absentee Pct 17 - Batch 7,50
Absentee Pct 17 - Batch 8,50
Absentee Pct 17 - Batch 9,50
Absentee Pct 17 - Batch 10,50
Absentee Pct 17 - Batch 11,47
Absentee Pct 17 - Batch 12,31
Absentee Pct 17 - Batch 13,1
Absentee Pct 17 - Batch 14,1
Absentee Pct 22 - Batch 1,50
Absentee Pct 22 - Batch 2,50
Absentee Pct 22 - Batch 3,50
Absentee Pct 22 - Batch 4,50
Absentee Pct 22 - Batch 5,50
Absentee Pct 22 - Batch 6,50
Absentee Pct 22 - Batch 7,50
Absentee Pct 22 - Batch 8,16
Absentee Pct 22 - Batch 9,26
Absentee Pct 23 - Batch 1,50
Absentee Pct 23 - Batch 2,50
Absentee Pct 23 - Batch 3,50
Absentee Pct 23 - Batch 4,50
Absentee Pct 23 - Batch 5,49
Absentee Pct 23 - Batch 6,15
Absentee Pct 23 - Batch 7,3
Absentee Pct 23 - Batch 8,2
Absentee Pct 26 - Batch 1,50
Absentee Pct 26 - Batch 2,50
Absentee Pct 26 - Batch 3,50
Absentee Pct 26 - Batch 4,50
Absentee Pct 26 - Batch 5,50
Absentee Pct 26 - Batch 6,50
Absentee Pct 26 - Batch 7,50
Absentee Pct 26 - Batch 8,50
Absentee Pct 26 - Batch 9,50
Absentee Pct 26 - Batch 10,50
Absentee Pct 26 - Batch 11,50
Absentee Pct 26 - Batch 12,50
Absentee Pct 26 - Batch 13,47
Absentee Pct 26 - Batch 14,49
Absentee Pct 26 - Batch 15,1
Absentee Pct 26 - Batch 16,5
Absentee Pct 29 - Batch 1,50
Absentee Pct 29 - Batch 2,50
Absentee Pct 29 - Batch 3,50
Absentee Pct 29 - Batch 4,50
Absentee Pct 29 - Batch 5,32
Absentee Pct 29 - Batch 6,18
Absentee Pct 29 - Batch 7,3
Absentee Pct 4 - Batch 1,30
Absentee Pct 4 - Batch 2,100
Absentee Pct 4 - Batch 3,50
Absentee Pct 4 - Batch 4,50
Absentee Pct 4 - Batch 5,50
Absentee Pct 4 - Batch 6,50
Absentee Pct 4 - Batch 7,24
Absentee Pct 4 - Batch 8,3
Absentee Pct 4 - Batch 9,2
Absentee Pct 7 - Batch 1,50
Absentee Pct 7 - Batch 2,50
Absentee Pct 7 - Batch 3,50
Absentee Pct 7 - Batch 4,50
Absentee Pct 7 - Batch 5,51
Absentee Pct 7 - Batch 6,11
Absentee Pct 7 - Batch 7,3
Absentee Pct 9 - Batch 1,50
Absentee Pct 9 - Batch 2,50
Absentee Pct 9 - Batch 3,50
Absentee Pct 9 - Batch 4,50
Absentee Pct 9 - Batch 5,50
Absentee Pct 9 - Batch 6,50
Absentee Pct 9 - Batch 7,50
Absentee Pct 9 - Batch 8,50
Absentee Pct 9 - Batch 9,50
Absentee Pct 9 - Batch 10,50
Absentee Pct 9 - Batch 11,50
Absentee Pct 9 - Batch 12,50
Absentee Pct 9 - Batch 13,12
Absentee Pct 9 - Batch 14,33
Absentee Pct 9 - Batch 15,6
Absentee Pct 9 - Batch 16,2
Absentee Pct 10 - Batch 1,50
Absentee Pct 10 - Batch 2,50
Absentee Pct 10 - Batch 3,50
Absentee Pct 10 - Batch 4,50
Absentee Pct 10 - Batch 5,50
Absentee Pct 10 - Batch 6,50
Absentee Pct 10 - Batch 7,16
Absentee Pct 10 - Batch 8,25
Absentee Pct 10 - Batch 9,1
Absentee Pct 10 - Batch 10,4
Absentee Pct 18 - Batch 1,50
Absentee Pct 18 - Batch 2,50
Absentee Pct 18 - Batch 3,50
Absentee Pct 18 - Batch 4,50
Absentee Pct 18 - Batch 5,50
Absentee Pct 18 - Batch 6,50
Absentee Pct 18 - Batch 7,50
Absentee Pct 18 - Batch 8,50
Absentee Pct 18 - Batch 9,50
Absentee Pct 18 - Batch 10,26
Absentee Pct 18 - Batch 11,31
Absentee Pct 18 - Batch 12,3
Absentee Pct 18 - Batch 13,1
Absentee Pct 19 - Batch 1,50
Absentee Pct 19 - Batch 2,50
Absentee Pct 19 - Batch 3,50
Absentee Pct 19 - Batch 4,50
Absentee Pct 19 - Batch 5,50
Absentee Pct 19 - Batch 6,50
Absentee Pct 19 - Batch 7,50
Absentee Pct 19 - Batch 8,29
Absentee Pct 19 - Batch 9,23
Absentee Pct 19 - Batch 10,7
Absentee Pct 19 - Batch 11,3
Absentee Pct 21 - Batch 1,50
Absentee Pct 21 - Batch 2,50
Absentee Pct 21 - Batch 3,50
Absentee Pct 21 - Batch 4,50
Absentee Pct 21 - Batch 5,50
Absentee Pct 21 - Batch 6,50
Absentee Pct 21 - Batch 7,36
Absentee Pct 21 - Batch 8,29
Absentee Pct 21 - Batch 9,3
Absentee Pct 21 - Batch 10,5
Absentee Pct 25 - Batch 1,50
Absentee Pct 25 - Batch 2,50
Absentee Pct 25 - Batch 3,50
Absentee Pct 25 - Batch 4,50
Absentee Pct 25 - Batch 5,50
Absentee Pct 25 - Batch 6,50
Absentee Pct 25 - Batch 7,50
Absentee Pct 25 - Batch 8,50
Absentee Pct 25 - Batch 9,50
Absentee Pct 25 - Batch 10,50
Absentee Pct 25 - Batch 11,50
Absentee Pct 25 - Batch 12,38
Absentee Pct 25 - Batch 13,4
Absentee Pct 25 - Batch 14,1
Absentee Pct 32 - Batch 1,50
Absentee Pct 32 - Batch 2,50
Absentee Pct 32 - Batch 3,50
Absentee Pct 32 - Batch 4,50
Absentee Pct 32 - Batch 5,50
Absentee Pct 32 - Batch 6,50
Absentee Pct 32 - Batch 7,50
Absentee Pct 32 - Batch 8,50
Absentee Pct 32 - Batch 9,3
Absentee Pct 32 - Batch 10,50
Absentee Pct 32 - Batch 11,26
Absentee Pct 32 - Batch 12,3
Absentee Pct 32 - Batch 13,3
Absentee Pct 1 - Batch 1,27
Absentee Pct 1 - Batch 2,50
Absentee Pct 1 - Batch 3,50
Absentee Pct 1 - Batch 4,50
Absentee Pct 1 - Batch 5,50
Absentee Pct 1 - Batch 6,50
Absentee Pct 1 - Batch 7,50
Absentee Pct 1 - Batch 8,50
Absentee Pct 1 - Batch 9,50
Absentee Pct 1 - Batch 10,50
Absentee Pct 1 - Batch 11,33
Absentee Pct 1 - Batch 12,4
Absentee Pct 1 - Batch 13,1
Absentee Pct 2 - Batch 1,50
Absentee Pct 2 - Batch 2,50
Absentee Pct 2 - Batch 3,50
Absentee Pct 2 - Batch 4,22
Absentee Pct 2 - Batch 6,20
Absentee Pct 2 - Batch 7,1
Absentee Pct 3 - Batch 1,50
Absentee Pct 3 - Batch 2,50
Absentee Pct 3 - Batch 3,50
Absentee Pct 3 - Batch 4,50
Absentee Pct 3 - Batch 5,7
Absentee Pct 3 - Batch 6,17
Absentee Pct 3 - Batch 7,1
Absentee Pct 12 - Batch 1,50
Absentee Pct 12 - Batch 2,50
Absentee Pct 12 - Batch 3,50
Absentee Pct 12 - Batch 4,50
Absentee Pct 12 - Batch 5,50
Absentee Pct 12 - Batch 6,50
Absentee Pct 12 - Batch 7,50
Absentee Pct 12 - Batch 8,50
Absentee Pct 12 - Batch 9,50
Absentee Pct 12 - Batch 10,32
Absentee Pct 12 - Batch 11,40
Absentee Pct 12 - Batch 12,5
Absentee Pct 13 - Batch 1,50
Absentee Pct 13 - Batch 2,50
Absentee Pct 13 - Batch 3,50
Absentee Pct 13 - Batch 4,50
Absentee Pct 13 - Batch 5,50
Absentee Pct 13 - Batch 6,9
Absentee Pct 13 - Batch 7,11
Absentee Pct 13 - Batch 8,2
Absentee Pct 16 - Batch 1,50
Absentee Pct 16 - Batch 2,50
Absentee Pct 16 - Batch 3,50
Absentee Pct 16 - Batch 4,50
Absentee Pct 16 - Batch 5,50
Absentee Pct 16 - Batch 6,50
Absentee Pct 16 - Batch 7,50
Absentee Pct 16 - Batch 8,44
Absentee Pct 16 - Batch 9,31
Absentee Pct 16 - Batch 10,4
Absentee Pct 16 - Batch 11,2
Absentee Pct 24 - Batch 1,50
Absentee Pct 24 - Batch 2,50
Absentee Pct 24 - Batch 3,50
Absentee Pct 24 - Batch 4,50
Absentee Pct 24 - Batch 5,50
Absentee Pct 24 - Batch 6,50
Absentee Pct 24 - Batch 7,50
Absentee Pct 24 - Batch 8,50
Absentee Pct 24 - Batch 9,50
Absentee Pct 24 - Batch 10,42
Absentee Pct 24 - Batch 11,33
Absentee Pct 24 - Batch 12,5
Absentee Pct 24 - Batch 13,2
Absentee Pct 31 - Batch 1,50
Absentee Pct 31 - Batch 2,50
Absentee Pct 31 - Batch 3,50
Absentee Pct 31 - Batch 4,50
Absentee Pct 31 - Batch 5,13
Absentee Pct 31 - Batch 6,25
Absentee Pct 31 - Batch 7,1
Absentee Pct 31 - Batch 8,3
Absentee Pct 5 - Batch 1,50
Absentee Pct 5 - Batch 2,50
Absentee Pct 5 - Batch 3,50
Absentee Pct 5 - Batch 4,50
Absentee Pct 5 - Batch 5,50
Absentee Pct 5 - Batch 6,50
Absentee Pct 5 - Batch 7,54
Absentee Pct 5 - Batch 8,27
Absentee Pct 5 - Batch 9,7
Absentee Pct 5 - Batch 10,2
Absentee Pct 11 - Batch 1,50
Absentee Pct 11 - Batch 2,50
Absentee Pct 11 - Batch 3,50
Absentee Pct 11 - Batch 4,41
Absentee Pct 11 - Batch 5,11
Absentee Pct 11 - Batch 6,4
Absentee Pct 11 - Batch 7,1
Absentee Pct 15 - Batch 1,50
Absentee Pct 15 - Batch 2,50
Absentee Pct 15 - Batch 3,50
Absentee Pct 15 - Batch 4,52
Absentee Pct 15 - Batch 5,22
Absentee Pct 20 - Batch 1,50
Absentee Pct 20 - Batch 2,50
Absentee Pct 20 - Batch 3,50
Absentee Pct 20 - Batch 4,50
Absentee Pct 20 - Batch 5,50
Absentee Pct 20 - Batch 6,28
Absentee Pct 20 - Batch 7,23
Absentee Pct 20 - Batch 8,1
Absentee Pct 27 - Batch 1,50
Absentee Pct 27 - Batch 2,50
Absentee Pct 27 - Batch 3,50
Absentee Pct 27 - Batch 4,50
Absentee Pct 27 - Batch 5,50
Absentee Pct 27 - Batch 6,50
Absentee Pct 27 - Batch 7,50
Absentee Pct 27 - Batch 8,3
Absentee Pct 27 - Batch 9,31
Absentee Pct 27 - Batch 10,4
Absentee Pct 28 - Batch 1,50
Absentee Pct 28 - Batch 2,50
Absentee Pct 28 - Batch 3,50
Absentee Pct 28 - Batch 4,50
Absentee Pct 28 - Batch 5,52
Absentee Pct 28 - Batch 6,17
Absentee Pct 28 - Batch 7,7
Absentee Pct 30 - Batch 1,50
Absentee Pct 30 - Batch 2,50
Absentee Pct 30 - Batch 3,50
Absentee Pct 30 - Batch 4,50
Absentee Pct 30 - Batch 5,50
Absentee Pct 30 - Batch 6,50
Absentee Pct 30 - Batch 7,50
Absentee Pct 30 - Batch 8,50
Absentee Pct 30 - Batch 9,47
Absentee Pct 30 - Batch 10,51
Absentee Pct 30 - Batch 11,2
Absentee Pct 30 - Batch 12,2
