Batch ID,Scanner ID,Number of Ballots
Precinct 1,Precinct 1,855
Precinct 2,Precinct 2,388
Precinct 3,Precinct 3,702
Precinct 4,Precinct 4,526
Precinct 5,Precinct 5,902
Precinct 6,Precinct 6,941
Precinct 7,Precinct 7,520
Precinct 8,Precinct 8,451
Precinct 9,Precinct 9,1005
Precinct 10,Precinct 10,708
Precinct 11,Precinct 11,688
Precinct 12,Precinct 12,940
Precinct 13,Precinct 13,726
Precinct 14,Precinct 14,901
Precinct 15,Precinct 15,690
Precinct 16,Precinct 16,1009
Precinct 17,Precinct 17,1035
Precinct 18,Precinct 18,571
Precinct 19,Precinct 19,611
Precinct 20,Precinct 20,503
Precinct 21,Precinct 21,884
Precinct 22,Precinct 22,552
Precinct 23,Precinct 23,630
Precinct 24,Precinct 24,652
Precinct 25,Precinct 25,956
Precinct 26,Precinct 26,1022
Precinct 27,Precinct 27,764
Precinct 28,Precinct 28,761
Precinct 29,Precinct 29,495
Precinct 30,Precinct 30,973
Precinct 31,Precinct 31,658
Precinct 32,Precinct 32,682
