sampled ballot,batch label,which ballot in batch,# times sampled
sampled ballot,batch label,which ballot in batch,# times sampled
505,Precinct 1,505,1
8378,Precinct 10,221,1
9805,Precinct 12,160,1
9859,Precinct 12,214,1
10212,Precinct 12,567,1
10686,Precinct 13,59,1
11478,Precinct 14,360,1
11934,Precinct 15,329,1
12023,Precinct 15,418,1
15616,Precinct 19,413,1
1523,Precinct 2,793,1
1692,Precinct 2,962,1
2137,Precinct 2,1407,1
2274,Precinct 2,1544,1
16401,Precinct 20,208,1
18974,Precinct 22,791,1
19076,Precinct 22,893,1
21126,Precinct 26,111,1
21336,Precinct 26,321,1
22154,Precinct 27,292,1
2626,Precinct 3,318,1
2627,Precinct 3,319,1
3354,Precinct 4,91,1
4079,Precinct 5,207,1
4398,Precinct 5,526,1
5003,Precinct 5,1131,1
5119,Precinct 5,1247,1
5649,Precinct 6,498,1
5981,Precinct 6,830,1
6040,Precinct 7,54,1
7456,Precinct 8,595,1
7905,Precinct 9,428,1
