sampled ballot,batch label,which ballot in batch,# times sampled
sampled ballot,batch label,which ballot in batch,# times sampled
28,Precinct 1-10,28,1
37,Precinct 1-10,37,1
99,Precinct 1-10,99,1
1820,Precinct 10-14,28,1
1845,Precinct 10-14,53,1
1867,Precinct 10-14,75,1
1917,Precinct 11-38,34,1
1974,Precinct 11-38,91,1
2054,Precinct 11-38,171,1
2121,Precinct 11-90,2,1
2164,Precinct 12-54,28,1
2230,Precinct 12-54,94,1
2328,Precinct 12-54,192,1
2487,Precinct 13-52,89,1
2582,Precinct 13-52,184,1
2715,Precinct 14-60,22,1
2807,Precinct 14-60,114,1
2913,Precinct 14-60,220,1
2986,Precinct 14-60,293,1
3120,Precinct 15-7,32,1
3186,Precinct 15-7,98,1
3198,Precinct 15-7,110,1
3241,Precinct 15-7,153,1
3265,Precinct 15-7,177,1
3332,Precinct 15-7,244,1
3378,Precinct 16-8,31,1
3379,Precinct 16-8,32,1
3535,Precinct 17-34,54,1
3561,Precinct 17-34,80,1
3637,Precinct 17-34,156,1
3738,Precinct 18-53,52,1
4007,Precinct 19-49,216,1
252,Precinct 2-17,27,1
255,Precinct 2-17,30,1
277,Precinct 2-17,52,1
9641,Precinct 20H-5,25,1
4092,Precinct 21-56,6,1
4124,Precinct 21-56,38,1
4385,Precinct 21-56,299,1
9900,Precinct 22H-18,33,1
4436,Precinct 23-48,4,1
4442,Precinct 23-48,10,1
4546,Precinct 23-48,114,1
4607,Precinct 23-48,175,1
4622,Precinct 23-48,190,1
4710,Precinct 24-58,28,1
4719,Precinct 24-58,37,1
4813,Precinct 24-58,131,1
4876,Precinct 24-58,194,3
4927,Precinct 24-58,245,1
4930,Precinct 24-58,248,1
4967,Precinct 25-21,2,1
4983,Precinct 25-21,18,1
5090,Precinct 25-21,125,1
5157,Precinct 25-21,192,1
5200,Precinct 26-39,6,1
5242,Precinct 26-39,48,1
5388,Precinct 26-39,194,1
5511,Precinct 27-55,67,1
5600,Precinct 27-55,156,1
10006,Precinct 28B-12,45,1
10094,Precinct 28B-12,133,1
10138,Precinct 28B-12,177,1
10155,Precinct 28B-12,194,1
5802,Precinct 29-63,122,1
5812,Precinct 29-63,132,1
5928,Precinct 29-63,248,1
6009,Precinct 29-63,329,1
413,Precinct 3-57,48,1
446,Precinct 3-57,81,1
585,Precinct 3-57,220,1
6126,Precinct 30-61,50,1
6192,Precinct 30-61,116,1
6199,Precinct 30-61,123,1
6225,Precinct 30-61,149,1
6455,Precinct 30-61,379,1
6761,Precinct 31-59,274,1
6793,Precinct 31-59,306,1
6819,Precinct 31-59,332,1
6846,Precinct 31-59,359,1
6963,Precinct 31-59,476,1
6981,Precinct 31-59,494,1
6985,Precinct 31-59,498,1
6998,Precinct 31-59,511,1
7180,Precinct 32-51,163,1
7438,Precinct 33-19,116,1
7507,Precinct 33-19,185,1
7568,Precinct 33-19,246,1
7569,Precinct 33-19,247,1
7570,Precinct 33-19,248,1
7726,Precinct 34-29,59,1
7948,Precinct 35-15,133,1
8071,Precinct 36-50,24,1
8111,Precinct 36-50,64,1
8119,Precinct 36-50,72,1
8260,Precinct 36-50,213,1
8305,Precinct 37-23,16,1
8575,Precinct 38-40,22,1
8903,Precinct 39-16,125,1
8916,Precinct 39-16,138,1
734,Precinct 4-27,25,1
744,Precinct 4-27,35,1
761,Precinct 4-27,52,1
769,Precinct 4-27,60,1
8995,Precinct 40-24,59,1
9026,Precinct 40-24,90,1
10287,Precinct 41L-62,48,1
10310,Precinct 41L-62,71,1
10328,Precinct 41L-62,89,1
10339,Precinct 41L-62,100,1
10414,Precinct 41L-62,175,1
10437,Precinct 41L-62,198,1
10516,Precinct 41L-62,277,1
10550,Precinct 41L-62,311,1
10618,Precinct 41W-2,21,1
9102,Precinct 42-35,33,1
9215,Precinct 42-35,146,1
9321,Precinct 43-20,59,1
9353,Precinct 43-20,91,1
9361,Precinct 43-20,99,1
9467,Precinct 44-13,71,1
9480,Precinct 44-13,84,1
1025,Precinct 5-9,98,1
1122,Precinct 6-43,59,1
1226,Precinct 6-43,163,1
1450,Precinct 8-6,22,1
1491,Precinct 8-6,63,1
1750,Precinct 9-26,132,1
