sampled ballot,batch label,which ballot in batch,# times sampled
sampled ballot,batch label,which ballot in batch,# times sampled
69,Ward 1 Precinct 1,69,1
91,Ward 1 Precinct 1,91,1
300,Ward 1 Precinct 1,300,1
307,Ward 1 Precinct 1,307,1
356,Ward 1 Precinct 1,356,1
377,Ward 1 Precinct 1,377,1
387,Ward 1 Precinct 1,387,1
408,Ward 1 Precinct 1,408,1
439,Ward 1 Precinct 1,439,1
562,Ward 1 Precinct 1,562,1
563,Ward 1 Precinct 1,563,1
666,Ward 1 Precinct 1,666,1
808,Ward 1 Precinct 1,808,1
815,Ward 1 Precinct 1,815,1
821,Ward 1 Precinct 1,821,1
855,Ward 1 Precinct 1,855,1
7121,Ward 1 Precinct 10,27,1
7162,Ward 1 Precinct 10,68,1
7229,Ward 1 Precinct 10,135,1
7287,Ward 1 Precinct 10,193,1
7314,Ward 1 Precinct 10,220,1
7341,Ward 1 Precinct 10,247,1
7410,Ward 1 Precinct 10,316,1
966,Ward 1 Precinct 2,56,1
1095,Ward 1 Precinct 2,185,1
1132,Ward 1 Precinct 2,222,1
1228,Ward 1 Precinct 2,318,1
1436,Ward 1 Precinct 2,526,1
1485,Ward 1 Precinct 2,575,1
1538,Ward 1 Precinct 2,628,1
1633,Ward 1 Precinct 2,723,1
1682,Ward 1 Precinct 2,772,1
1837,Ward 1 Precinct 3,94,1
1873,Ward 1 Precinct 3,130,1
1885,Ward 1 Precinct 3,142,1
2027,Ward 1 Precinct 3,284,1
2163,Ward 1 Precinct 3,420,1
2189,Ward 1 Precinct 3,446,1
2363,Ward 1 Precinct 3,620,1
2545,Ward 1 Precinct 4,66,1
2832,Ward 1 Precinct 4,353,1
2838,Ward 1 Precinct 4,359,1
3060,Ward 1 Precinct 4,581,1
3300,Ward 1 Precinct 5,21,1
3383,Ward 1 Precinct 5,104,1
3609,Ward 1 Precinct 5,330,1
3770,Ward 1 Precinct 5,491,1
3801,Ward 1 Precinct 5,522,1
3829,Ward 1 Precinct 5,550,1
3842,Ward 1 Precinct 5,563,1
3864,Ward 1 Precinct 5,585,1
4032,Ward 1 Precinct 5,753,1
4103,Ward 1 Precinct 6,31,1
4284,Ward 1 Precinct 6,212,1
4288,Ward 1 Precinct 6,216,1
4342,Ward 1 Precinct 6,270,1
4561,Ward 1 Precinct 6,489,1
4686,Ward 1 Precinct 6,614,1
4707,Ward 1 Precinct 6,635,1
4719,Ward 1 Precinct 7,12,1
4866,Ward 1 Precinct 7,159,1
4991,Ward 1 Precinct 7,284,1
5025,Ward 1 Precinct 7,318,1
5201,Ward 1 Precinct 7,494,1
5268,Ward 1 Precinct 7,561,1
5283,Ward 1 Precinct 7,576,1
5321,Ward 1 Precinct 7,614,1
5485,Ward 1 Precinct 7,778,1
5594,Ward 1 Precinct 8,8,1
5816,Ward 1 Precinct 8,230,1
5913,Ward 1 Precinct 8,327,1
6221,Ward 1 Precinct 8,635,1
6296,Ward 1 Precinct 8,710,1
6511,Ward 1 Precinct 9,112,1
6529,Ward 1 Precinct 9,130,1
6740,Ward 1 Precinct 9,341,1
6857,Ward 1 Precinct 9,458,1
6912,Ward 1 Precinct 9,513,1
7490,Ward 2 Precinct 11,29,1
7782,Ward 2 Precinct 11,321,1
7947,Ward 2 Precinct 11,486,1
7965,Ward 2 Precinct 11,504,1
7990,Ward 2 Precinct 11,529,1
8060,Ward 2 Precinct 11,599,1
8084,Ward 2 Precinct 11,623,1
8094,Ward 2 Precinct 11,633,1
8184,Ward 2 Precinct 11,723,1
8207,Ward 2 Precinct 11,746,1
8239,Ward 2 Precinct 11,778,1
8535,Ward 2 Precinct 12,283,1
8551,Ward 2 Precinct 12,299,1
8639,Ward 2 Precinct 12,387,1
8641,Ward 2 Precinct 12,389,1
8652,Ward 2 Precinct 12,400,1
8665,Ward 2 Precinct 12,413,1
8690,Ward 2 Precinct 12,438,1
8702,Ward 2 Precinct 12,450,1
8740,Ward 2 Precinct 12,488,1
8797,Ward 2 Precinct 12,545,1
8843,Ward 2 Precinct 12,591,1
8887,Ward 2 Precinct 12,635,1
8898,Ward 2 Precinct 12,646,1
9010,Ward 2 Precinct 12,758,1
9020,Ward 2 Precinct 12,768,1
9077,Ward 2 Precinct 12,825,1
9214,Ward 2 Precinct 13,13,1
9330,Ward 2 Precinct 13,129,1
9415,Ward 2 Precinct 13,214,1
9458,Ward 2 Precinct 13,257,1
9464,Ward 2 Precinct 13,263,1
9660,Ward 2 Precinct 13,459,1
9679,Ward 2 Precinct 13,478,1
9820,Ward 2 Precinct 13,619,1
9849,Ward 2 Precinct 13,648,1
9863,Ward 2 Precinct 13,662,1
9895,Ward 2 Precinct 13,694,1
9935,Ward 2 Precinct 14,6,1
10089,Ward 2 Precinct 14,160,1
10112,Ward 2 Precinct 14,183,1
10216,Ward 2 Precinct 14,287,1
10251,Ward 2 Precinct 14,322,1
10299,Ward 2 Precinct 14,370,1
10420,Ward 2 Precinct 14,491,1
10430,Ward 2 Precinct 14,501,1
10444,Ward 2 Precinct 14,515,1
10471,Ward 2 Precinct 14,542,1
10496,Ward 2 Precinct 14,567,1
10553,Ward 2 Precinct 14,624,1
10568,Ward 2 Precinct 14,639,1
10614,Ward 2 Precinct 14,685,1
