sampled ballot,batch label,which ballot in batch,# times sampled
sampled ballot,batch label,which ballot in batch,# times sampled
31570,Absentee Pct 1 - Batch 4,3,1
31819,Absentee Pct 1 - Batch 9,2,1
28924,Absentee Pct 10 - Batch 5,4,1
33135,Absentee Pct 13 - Batch 5,35,1
24690,Absentee Pct 14 - Batch 2,15,1
24708,Absentee Pct 14 - Batch 2,33,1
33258,Absentee Pct 16 - Batch 2,36,1
25721,Absentee Pct 17 - Batch 10,24,1
29245,Absentee Pct 18 - Batch 4,29,1
29593,Absentee Pct 19 - Batch 1,16,1
31959,Absentee Pct 2 - Batch 1,4,1
32028,Absentee Pct 2 - Batch 2,23,1
35260,Absentee Pct 20 - Batch 2,12,1
25847,Absentee Pct 22 - Batch 1,20,1
33946,Absentee Pct 24 - Batch 7,43,1
30524,Absentee Pct 25 - Batch 4,12,1
30571,Absentee Pct 25 - Batch 5,9,1
30791,Absentee Pct 25 - Batch 9,29,1
26987,Absentee Pct 26 - Batch 10,49,1
35937,Absentee Pct 28 - Batch 1,49,1
36136,Absentee Pct 28 - Batch 5,48,1
27437,Absentee Pct 29 - Batch 6,15,1
36634,Absentee Pct 30 - Batch 10,23,1
34375,Absentee Pct 31 - Batch 8,1,1
34411,Absentee Pct 5 - Batch 1,34,1
24095,Absentee Pct 6 - Batch 8,44,1
28696,Absentee Pct 9 - Batch 14,17,1
28233,Absentee Pct 9 - Batch 4,16,1
514,Election Day Precinct 1,514,1
6709,Election Day Precinct 10,419,1
6813,Election Day Precinct 10,523,1
6994,Election Day Precinct 10,704,1
7190,Election Day Precinct 11,192,1
7654,Election Day Precinct 11,656,1
8187,Election Day Precinct 12,501,1
8525,Election Day Precinct 12,839,1
9120,Election Day Precinct 13,494,1
9261,Election Day Precinct 13,635,1
9667,Election Day Precinct 14,315,1
10385,Election Day Precinct 15,132,1
10667,Election Day Precinct 15,414,1
10755,Election Day Precinct 15,502,1
11126,Election Day Precinct 16,183,1
11246,Election Day Precinct 16,303,1
11536,Election Day Precinct 16,593,1
11599,Election Day Precinct 16,656,1
11774,Election Day Precinct 16,831,1
12366,Election Day Precinct 17,414,1
12468,Election Day Precinct 17,516,1
12996,Election Day Precinct 18,9,1
14670,Election Day Precinct 20,501,1
14748,Election Day Precinct 21,76,1
14980,Election Day Precinct 21,308,1
15733,Election Day Precinct 22,177,1
16087,Election Day Precinct 22,531,1
17510,Election Day Precinct 25,120,1
17574,Election Day Precinct 25,184,1
17956,Election Day Precinct 25,566,1
19428,Election Day Precinct 27,60,1
20172,Election Day Precinct 28,40,1
20302,Election Day Precinct 28,170,1
20521,Election Day Precinct 28,389,1
20574,Election Day Precinct 28,442,1
1434,Election Day Precinct 3,191,1
21519,Election Day Precinct 30,131,1
21828,Election Day Precinct 30,440,1
22535,Election Day Precinct 31,174,1
22866,Election Day Precinct 31,505,1
22926,Election Day Precinct 31,565,1
22936,Election Day Precinct 31,575,1
23478,Election Day Precinct 32,459,1
23555,Election Day Precinct 32,536,1
2262,Election Day Precinct 4,317,1
3333,Election Day Precinct 5,862,1
4711,Election Day Precinct 7,397,1
6253,Election Day Precinct 9,968,1
